,Experiment,Date,Pre Post,Plot,Strip,PT Height (mm),evi_mean,ndvi_mean,gndvi_mean,savi_mean,msavi_mean,Total Biomass (kg/ha)
369,SHTFG,8/24/2018,Pre,121_2,3,87.0,1.6700290441513062,0.5813034772872925,0.5956598520278931,0.8718595504760742,0.7351936101913452,2342.0
370,SHTFG,8/10/2018,Pre,211_1,3,58.0,1.2492082118988037,0.6153331995010376,0.6574434041976929,0.922896921634674,0.761840284,1574.0
371,SHTFG,8/10/2018,Pre,111_1,5,65.0,1.3897051811218262,0.6449626088142395,0.6759300827980042,0.9673374891281128,0.7841442823410034,1727.0
372,SHTFG,8/24/2018,Pre,121_2,5,96.0,1.6980894804000854,0.5962047576904297,0.60079664,0.8942084908485413,0.7470018267631531,2547.0
373,SHTFG,11/7/2018,Pre,111_1,1,79.0,1.456251859664917,0.6265740394592285,0.6401050686836243,0.9397590160369872,0.7703981995582581,2086.0
374,SHTFG,8/10/2018,Pre,111_2,4,101.0,1.467410445213318,0.6873071193695068,0.7155407071113586,1.0308547019958496,0.8146609663963318,2663.0
375,SHTFG,8/10/2018,Pre,211_2,5,77.0,1.3203339576721191,0.6294955611228943,0.6765184998512268,0.9441366195678712,0.7726019024848938,2019.0
376,SHTFG,8/10/2018,Pre,211_2,4,95.0,1.4020925760269165,0.6678839921951294,0.7026315927505493,1.0017184019088743,0.800855279,2490.0
377,SHTFG,8/24/2018,Pre,211_2,8,31.0,1.3791035413742063,0.5461023449897766,0.5729349851608276,0.8190650939941406,0.7063956260681152,806.0
378,SHTFG,8/10/2018,Pre,111_1,12,71.0,1.361535668373108,0.6561027765274048,0.6879091858863831,0.9840488433837892,0.7923241853713989,1831.0
379,SHTFG,8/10/2018,Pre,111_2,6,107.0,1.481465220451355,0.6888433694839478,0.7091361284255981,1.0331593751907349,0.8157393336296082,2758.0
380,SHTFG,8/10/2018,Pre,121_1,5,33.0,1.221496820449829,0.582055926,0.6267964839935303,0.8729854822158813,0.7357944846153259,849.0
381,SHTFG,8/24/2018,Pre,111_1,6,78.0,1.7644147872924805,0.6146551966667175,0.6129171252250671,0.9218834042549132,0.7613211870193481,1991.0
382,SHTFG,9/12/2018,Pre,111_1,5,39.0,1.218950271606445,0.6378406882286072,0.6783028841018677,0.9566356539726256,0.7788524627685547,989.0
383,SHTFG,8/24/2018,Pre,111_1,8,77.0,2.029680013656616,0.6863893866539001,0.6671814918518066,1.0294835567474363,0.8140167593955994,1971.0
384,SHTFG,8/10/2018,Pre,211_1,1,27.0,1.1071008443832395,0.5581887364387512,0.6156209111213684,0.837194562,0.7164308428764343,675.0
385,SHTFG,8/10/2018,Pre,214_1,6,59.0,1.326421141624451,0.6344591975212097,0.6716222167015076,0.9515870213508606,0.7763309478759766,1499.0
386,SHTFG,8/24/2018,Pre,111_1,12,73.0,1.855813980102539,0.6208046078681946,0.6172100305557251,0.9311034679412842,0.7660204172134399,1838.0
387,SHTFG,8/10/2018,Pre,211_1,7,62.0,1.328089714050293,0.6302016377449036,0.6703296899795532,0.9452010989189148,0.7731348276138306,1553.0
388,SHTFG,9/12/2018,Pre,211_2,9,161.0,1.7752370834350586,0.8366750478744507,0.8214581608772278,1.254881501197815,0.9110665321350098,4052.0
389,SHTFG,11/7/2018,Pre,121_2,4,199.0,1.674669861793518,0.6842105388641357,0.6963708996772766,1.0262190103530884,0.8124829530715942,5002.0
390,SHTFG,8/24/2018,Pre,111_1,10,70.0,1.689998745918274,0.602789044,0.607489288,0.9040818810462952,0.7521489858627319,1738.0
391,SHTFG,9/12/2018,Pre,111_1,11,98.0,1.4897897243499756,0.7476022243499756,0.7582529187202454,1.1212618350982666,0.8555569648742676,2434.0
